Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=False, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py, inconsistency samples gradient reverse=Fale', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:41 [batch_index:0/16]	Loss1:0.481760	Loss2:0.396592	Discrepancy:0.056307	Consistency weight:1.000000	Consistency loss_t1:0.049820	Consistency loss_t2:0.047898	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056753	Resample Pool Num:30446
Train Epoch:42 [batch_index:0/16]	Loss1:0.434800	Loss2:0.401842	Discrepancy:0.053535	Consistency weight:1.000000	Consistency loss_t1:0.053813	Consistency loss_t2:0.048672	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.063419	Resample Pool Num:30748
Train Epoch:43 [batch_index:0/16]	Loss1:0.399163	Loss2:0.460486	Discrepancy:0.048251	Consistency weight:1.000000	Consistency loss_t1:0.054470	Consistency loss_t2:0.055342	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.061258	Resample Pool Num:31048
Train Epoch:44 [batch_index:0/16]	Loss1:0.395571	Loss2:0.354908	Discrepancy:0.058388	Consistency weight:1.000000	Consistency loss_t1:0.050720	Consistency loss_t2:0.053998	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.054356	Resample Pool Num:31367
Train Epoch:45 [batch_index:0/16]	Loss1:0.374407	Loss2:0.351408	Discrepancy:0.060972	Consistency weight:1.000000	Consistency loss_t1:0.051143	Consistency loss_t2:0.051928	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.055243	Resample Pool Num:31652
Train Epoch:46 [batch_index:0/16]	Loss1:0.387778	Loss2:0.395424	Discrepancy:0.054661	Consistency weight:1.000000	Consistency loss_t1:0.054745	Consistency loss_t2:0.055506	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.050904	Resample Pool Num:31945
Train Epoch:47 [batch_index:0/16]	Loss1:0.391013	Loss2:0.363027	Discrepancy:0.057384	Consistency weight:1.000000	Consistency loss_t1:0.056962	Consistency loss_t2:0.057445	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.050120	Resample Pool Num:32192
Train Epoch:48 [batch_index:0/16]	Loss1:0.349936	Loss2:0.299618	Discrepancy:0.052664	Consistency weight:1.000000	Consistency loss_t1:0.057908	Consistency loss_t2:0.058882	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056191	Resample Pool Num:32441
Train Epoch:49 [batch_index:0/16]	Loss1:0.365715	Loss2:0.327026	Discrepancy:0.050062	Consistency weight:1.000000	Consistency loss_t1:0.059801	Consistency loss_t2:0.061504	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058502	Resample Pool Num:32701
Train Epoch:50 [batch_index:0/16]	Loss1:0.299364	Loss2:0.301087	Discrepancy:0.049591	Consistency weight:1.000000	Consistency loss_t1:0.063126	Consistency loss_t2:0.061698	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.047275	Resample Pool Num:32976
